,Unnamed: 0,sentence,time
156,5,寝室,1522668800.52
157,6,寝室で果物をつかむ,1522668814.28
158,7,寝室で果物を把持する,1522668829.77
159,8,寝室で果物に手を伸ばす,1522668842.95
160,9,寝室で果物を掴んだ,1522668852.72
161,10,ここは キッチンだよ,1522668890.48
162,11,キッチンの棚に置く,1522668895.94
163,12,キッチンの棚に設置する,1522668904.61
164,13,キッチンの棚に置く,1522668911.95
165,14,キッチンの棚に置いた,1522668919.51
